Time,Population,Life_Expectancy,Lifet_Mlt_Food,Lifet_Mlt_PPoll,Lifet_Mlt_Hlth_Serv,Lifet_Mlt_Crowd,Total_Fertility,Fert_Cont_Eff,Des_Tot_Fert,Des_Compl_Fam_Size,Nr_Resources,Nr_Res_Use_Rt,S_Nr_Res_Use_Fact,Pers_Pollution,S_PPoll_Gen_Fact,Assim_Half_Life,Food,Land_Yield,Land_Yield_Mlt_Cap,Agr_Inp_Per_Hect,Agr_Inp,Land_Fertility,Land_Fert_Degr,Land_Fert_Regen,Arable_Land,Land_Erosion_Rt,Avg_Life_Land,Pot_Arable_Land,Dev_Cost_Per_Hect,Urban_Ind_Land,Industrial_Output,Ind_Out_PC,Serv_Out_PC,Food_PC,Cons_Ind_Out_PC,S_FIOA_Serv,S_Fr_Cap_Al_Obt-Res,S_FIOA_Agr,Human_Ecological_Footprint,Human_Welfare_Index
1900,1.60E+09,29,1.07,1,1.04,0.93,5.04,0.78,4.47,3.15,1.00E+12,2.80E+08,1,25000000,1,1.5,4.31E+11,760,1.27,5.33,5.00E+09,600,1.1,0,900000000,1.00E+06,901,2300000000,272,8000000,6.70E+10,42,90,269,18,0.11,0.05,0.11,0.5,0.2
1905,1.66E+09,30,1.09,1,1.04,0.93,5.62,0.78,5.19,3.66,9.98E+11,3.40E+08,1,22000000,1,1.5,4.64E+11,805.31,1.35,7.01,7.00E+09,596,0.97,0.54,916000000,1.05E+06,873,2279000000,282,9000000,8.00E+10,48,90,280,21,0.12,0.05,0.11,0.51,0.22
1910,1.74E+09,30,1.1,1,1.04,0.93,5.64,0.77,5.19,3.67,9.97E+11,4.00E+08,1,22000000,1,1.5,4.95E+11,840.34,1.41,8.26,8.00E+09,595,0.97,0.79,936000000,1.10E+06,852,2253000000,294,9000000,9.50E+10,55,96,285,24,0.13,0.05,0.11,0.53,0.23
1915,1.81E+09,30,1.12,1,1.04,0.93,5.64,0.77,5.17,3.65,9.94E+11,4.80E+08,1,23000000,1,1.5,5.32E+11,879.47,1.48,9.61,1.00E+10,594,1.02,0.92,960000000,1.16E+06,828,2223000000,324,10000000,1.13E+11,62,104,293,27,0.13,0.05,0.11,0.55,0.24
1920,1.89E+09,31,1.14,1,1.04,0.94,5.64,0.77,5.14,3.65,9.92E+11,5.70E+08,1,26000000,1,1.5,5.74E+11,927.17,1.56,11.24,1.20E+10,594,1.12,1.03,982000000,1.23E+06,798,2194000000,365,10000000,1.33E+11,71,114,304,30,0.13,0.05,0.11,0.57,0.25
1925,1.97E+09,32,1.16,1,1.04,0.94,5.63,0.77,5.1,3.63,9.89E+11,6.70E+08,1,29000000,1,1.5,6.21E+11,981.22,1.65,13.09,1.40E+10,593,1.27,1.16,1005000000,1.31E+06,765,2164000000,407,11000000,1.58E+11,80,126,315,35,0.13,0.05,0.11,0.59,0.26
1930,2.06E+09,32,1.18,1,1.04,0.94,5.6,0.77,5.04,3.61,9.85E+11,8.00E+08,1,34000000,1,1.5,6.76E+11,1043.02,1.76,15.21,1.70E+10,593,1.47,1.34,1029000000,1.42E+06,727,2133000000,451,12000000,1.88E+11,92,140,328,39,0.12,0.05,0.11,0.61,0.28
1935,2.15E+09,33,1.21,1,1.05,0.94,5.57,0.77,4.98,3.57,9.81E+11,9.60E+08,1,40000000,1,1.5,7.40E+11,1113.47,1.88,17.63,2.00E+10,592,1.73,1.57,1054000000,1.54E+06,683,2099000000,499,12000000,2.25E+11,104,156,343,45,0.12,0.05,0.11,0.64,0.3
1940,2.26E+09,35,1.24,1,1.05,0.95,5.53,0.78,4.89,3.53,9.76E+11,1.14E+09,1,47000000,1,1.5,8.14E+11,1193.29,2.02,20.38,2.30E+10,591,2.04,1.88,1083000000,1.71E+06,634,2061000000,552,13000000,2.69E+11,119,174,360,51,0.12,0.05,0.11,0.67,0.32
1945,2.46E+09,43,1.26,1,1.28,0.95,5.49,0.78,4.63,3.36,9.69E+11,1.36E+09,1,56000000,1,1.5,9.06E+11,1287.98,2.18,23.65,2.80E+10,590,2.42,2.21,1117000000,1.89E+06,590,2017000000,613,14000000,3.21E+11,131,189,369,56,0.12,0.05,0.11,0.7,0.38
